Cycles  E  E2  M2  Mabs  accepted conf  sigmaE
1,-276.000,76176.0,400.000,20.0000,235,0.00000
2,-316.000,101456.,1000.00,30.0000,399,4.00000
3,-325.333,107083.,2300.00,43.3333,568,3.10222
4,-348.000,123576.,3750.00,55.0000,710,6.18000
5,-358.400,130861.,5000.00,64.0000,841,6.02560
6,-366.000,136253.,6409.33,72.6667,997,5.74333
7,-374.286,142471.,8214.29,82.0000,1130,5.95265
8,-381.500,147990.,8539.50,84.7500,1279,6.11937
9,-383.556,149324.,8490.67,85.3333,1426,5.52395
10,-385.600,150714.,7978.00,82.6000,1584,5.06560
11,-389.818,153978.,7370.55,78.3636,1729,5.04992
12,-392.333,155847.,6756.67,72.0000,1860,4.80306
13,-394.462,157428.,6244.62,67.2308,1992,4.56947
14,-395.714,158307.,5924.57,65.4286,2150,4.29408
15,-399.467,161374.,5894.67,66.0000,2292,4.50062
16,-402.000,163388.,5967.25,67.1250,2395,4.46000
17,-404.941,165795.,5872.47,67.0588,2522,4.54367
18,-407.778,168136.,5663.78,65.8889,2642,4.63321
19,-410.526,170424.,5594.95,65.8947,2756,4.72931
20,-412.600,172118.,5738.40,67.2000,2861,4.69710
21,-412.381,171848.,5980.19,68.9524,2975,4.47583
22,-413.273,172520.,6110.00,70.0909,3104,4.31413
23,-415.652,174542.,6512.87,72.4348,3239,4.43796
24,-421.167,179782.,7204.17,75.7500,3331,6.00160
25,-425.280,183574.,8270.24,80.0800,3425,6.77670
26,-429.385,187399.,8961.54,83.2308,3534,7.56905
27,-431.852,189570.,9199.11,84.7407,3629,7.68439
28,-432.429,189967.,9419.71,86.1429,3741,7.43240
29,-430.621,188396.,9304.69,85.8621,3870,7.40490
30,-428.800,186829.,9077.87,84.6667,4018,7.39840
31,-428.000,186067.,9012.65,84.6452,4151,7.20774
32,-428.875,186750.,9043.50,85.1250,4287,7.04184
33,-430.303,187957.,9136.12,85.8788,4404,6.99159
34,-431.765,189206.,9364.47,87.1765,4518,6.96221
35,-433.829,191057.,9673.03,88.7429,4614,7.12536
36,-435.000,192044.,9859.44,89.8333,4703,7.04750
37,-436.757,193610.,9969.30,90.5946,4822,7.13478
