Cycles  E  E2  M2  Mabs  accepted conf 
1,-800.000,640000.,160000.,400.000,0
2,-800.000,640000.,160000.,400.000,0
3,-800.000,640000.,160000.,400.000,0
4,-800.000,640000.,160000.,400.000,0
5,-800.000,640000.,160000.,400.000,0
6,-800.000,640000.,160000.,400.000,2
7,-800.000,640000.,160000.,400.000,2
8,-799.000,638408.,159800.,399.750,3
9,-798.222,637170.,159645.,399.556,5
10,-798.400,637453.,159681.,399.600,6
11,-798.545,637684.,159710.,399.636,6
12,-798.667,637877.,159734.,399.667,6
13,-798.154,637061.,159632.,399.538,7
14,-798.286,637271.,159658.,399.571,8
15,-798.400,637453.,159681.,399.600,10
16,-798.500,637612.,159701.,399.625,10
17,-798.588,637752.,159718.,399.647,10
18,-798.667,637877.,159734.,399.667,10
19,-798.737,637989.,159748.,399.684,10
20,-798.800,638090.,159761.,399.700,10
21,-798.857,638181.,159772.,399.714,10
22,-798.909,638263.,159782.,399.727,10
23,-798.957,638339.,159792.,399.739,10
24,-799.000,638408.,159800.,399.750,12
25,-799.040,638472.,159808.,399.760,12
26,-799.077,638530.,159816.,399.769,12
27,-799.111,638585.,159823.,399.778,12
28,-799.143,638635.,159829.,399.786,12
29,-799.172,638682.,159835.,399.793,12
30,-799.200,638726.,159840.,399.800,12
31,-799.226,638767.,159846.,399.806,12
32,-799.250,638806.,159850.,399.812,12
33,-799.273,638842.,159855.,399.818,12
34,-799.294,638876.,159859.,399.824,12
35,-799.314,638908.,159863.,399.829,12
36,-799.333,638939.,159867.,399.833,12
37,-799.351,638967.,159871.,399.838,12
38,-799.368,638995.,159874.,399.842,12
39,-799.385,639020.,159877.,399.846,12
40,-799.400,639045.,159880.,399.850,12
41,-799.415,639068.,159883.,399.854,12
42,-799.429,639090.,159886.,399.857,12
43,-799.442,639111.,159889.,399.860,12
44,-799.273,638842.,159855.,399.818,13
45,-799.289,638868.,159858.,399.822,14
46,-799.304,638893.,159861.,399.826,14
47,-799.319,638916.,159864.,399.830,14
48,-799.333,638939.,159867.,399.833,14
49,-799.347,638960.,159870.,399.837,14
50,-799.360,638981.,159872.,399.840,14
51,-799.373,639001.,159875.,399.843,14
52,-799.385,639020.,159877.,399.846,14
53,-799.396,639039.,159880.,399.849,14
54,-799.407,639057.,159882.,399.852,14
55,-799.418,639074.,159884.,399.855,14
56,-799.429,639090.,159886.,399.857,14
57,-799.298,638883.,159860.,399.825,15
58,-799.172,638682.,159835.,399.793,15
59,-799.186,638705.,159838.,399.797,16
60,-799.200,638726.,159840.,399.800,16
61,-799.213,638747.,159843.,399.803,16
62,-799.226,638767.,159846.,399.806,16
63,-799.238,638787.,159848.,399.810,16
64,-799.250,638806.,159850.,399.812,16
